"OBJECTID","Code","Name"
"1.0","000001","LP12"
"2.0","000002","LP130"
"3.0","000003","LP18"
"4.0","000004","LP182"
"5.0","000005","LP19"
"6.0","000006","LP191"
"7.0","000007","LP192"
"8.0","000008","LP194"
"9.0","000009","LP196"
"10.0","000010","LP20"
"11.0","000011","LP21"
"12.0","000012","LP22"
"13.0","000013","LP3"
"14.0","000013000023","LP3/LP35"
"15.0","000013000071","LP3/LP6"
"16.0","000016","LP30"
"17.0","000017","LP312"
"18.0","000018","LP320"
"19.0","000019","LP340"
"20.0","000020","LP344E"
"21.0","000021","LP344W"
"22.0","000022","LP345"
"23.0","000023","LP35"
"24.0","000024","LP350"
"25.0","000025","LP358"
"26.0","000026","LP36"
"27.0","000027","LP360"
"28.0","000028","LP362"
"29.0","000029","LP37"
"30.0","000030","LP376"
"31.0","000031","LP379"
"32.0","000032","LP386"
"33.0","000033","LP39"
"34.0","000034","LP391"
"35.0","000035","LP395"
"36.0","000036","LP4"
"37.0","000036000098","LP4/LP7"
"38.0","000036000107","LP4/LP76"
"39.0","000036000118","LP4/LP9"
"40.0","000040","LP402"
"41.0","000041","LP404"
"42.0","000042","LP409"
"43.0","000043","LP429"
"44.0","000044","LP448"
"45.0","000045","LP449"
"46.0","000046","LP450"
"47.0","000047","LP461"
"48.0","000048","LP462"
"49.0","000049","LP464"
"50.0","000050","LP468"
"51.0","000051","LP47"
"52.0","000052","LP482"
"53.0","000053","LP487"
"54.0","000054","LP489"
"55.0","000055","LP492"
"56.0","000056","LP494"
"57.0","000057","LP496"
"58.0","000058","LP5"
"59.0","000058000016","LP5/LP30"
"60.0","000060","LP510"
"61.0","000061","LP55"
"62.0","000062","LP58"
"63.0","000063","LP59"
"64.0","000064","LP590"
"65.0","000065","LP591"
"66.0","000066","LP592"
"67.0","000067","LP593"
"68.0","000068","LP594"
"69.0","000069","LP595"
"70.0","000070","LP599"
"71.0","000071","LP6"
"72.0","000071000097","LP6/LP69"
"73.0","000071000098","LP6/LP7"
"74.0","000071000118","LP6/LP9"
"75.0","000075","LP602"
"76.0","000076","LP605"
"77.0","000077","LP606"
"78.0","000078","LP614"
"79.0","000079","LP617"
"80.0","000080","LP623"
"81.0","000081","LP637"
"82.0","000082","LP638"
"83.0","000083","LP641"
"84.0","000084","LP642"
"85.0","000085","LP645"
"86.0","000086","LP647"
"87.0","000087","LP649"
"88.0","000088","LP651"
"89.0","000089","LP654"
"90.0","000090","LP655"
"91.0","000091","LP655E"
"92.0","000092","LP656"
"93.0","000093","LP657"
"94.0","000094","LP665"
"95.0","000095","LP677"
"96.0","000096","LP679"
"97.0","000097","LP69"
"98.0","000098","LP7"
"99.0","000099","LP703"
"100.0","000100","LP704"
"101.0","000101","LP705"
"102.0","000102","LP71"
"103.0","000103","LP710"
"104.0","000104","LP717"
"105.0","000105","LP720"
"106.0","000106","LP721"
"107.0","000107","LP76"
"108.0","000107000111","LP76/LP765"
"109.0","000109","LP760"
"110.0","000110","LP761"
"111.0","000111","LP765"
"112.0","000112","LP766"
"113.0","000113","LP767"
"114.0","000114","LP768"
"115.0","000115","LP774"
"116.0","000116","LP782"
"117.0","000117","LP79"
"118.0","000118","LP9"
"119.0","000119","LP950"
"120.0","000120","LP96"
"121.0","000120000119","LP96/LP950"
"122.0","000120000130","LP96/LP967"
"123.0","000123","LP960"
"124.0","000124","LP961"
"125.0","000125","LP962"
"126.0","000126","LP963"
"127.0","000127","LP964"
"128.0","000128","LP965"
"129.0","000129","LP966"
"130.0","000130","LP967"
"131.0","000131","LP968"
"132.0","000132","LP969"
"133.0","000133","LP971"
"134.0","000134","LP99"
"135.0","000135","LP990"
"136.0","000136","LP992"
"137.0","000137","LP994"
"138.0","000138","LP996"
"139.0","000140","UP1"
"140.0","000140000175","UP1/UP2"
"141.0","000140000245","UP1/UP8"
"142.0","000143","UP100"
"143.0","000144","UP101"
"144.0","000145","UP102"
"145.0","000146","UP107"
"146.0","000147","UP109"
"147.0","000148","UP11"
"148.0","000149","UP111"
"149.0","000150","UP113"
"150.0","000151","UP115"
"151.0","000152","UP116"
"152.0","000153","UP12"
"153.0","000153000159","UP12/UP13"
"154.0","000155","UP120"
"155.0","000156","UP121"
"156.0","000157","UP122"
"157.0","000158","UP124"
"158.0","000159","UP13"
"159.0","000160","UP130"
"160.0","000161","UP132"
"161.0","000162","UP133"
"162.0","000163","UP134"
"163.0","000163000165","UP134/UP135"
"164.0","000165","UP135"
"165.0","000166","UP14"
"166.0","000167","UP15"
"167.0","000168","UP150"
"168.0","000169","UP151"
"169.0","000170","UP153"
"170.0","000171","UP159"
"171.0","000172","UP16"
"172.0","000173","UP17"
"173.0","000174","UP18"
"174.0","000175","UP2"
"175.0","000175000148","UP2/UP11"
"176.0","000175000159","UP2/UP13"
"177.0","000175000167","UP2/UP15"
"178.0","000175000183","UP2/UP3"
"179.0","000175000191","UP2/UP411"
"180.0","000175000214","UP2/UP47"
"181.0","000175000239","UP2/UP5"
"182.0","000183","UP3"
"183.0","000183000153","UP3/UP12"
"184.0","000183000245","UP3/UP8"
"185.0","000186","UP310"
"186.0","000187","UP32"
"187.0","000188","UP33"
"188.0","000189","UP331"
"189.0","000190","UP41"
"190.0","000191","UP411"
"191.0","000192","UP413"
"192.0","000193","UP415"
"193.0","000194","UP417"
"194.0","000195","UP418"
"195.0","000196","UP419"
"196.0","000197","UP421"
"197.0","000198","UP422"
"198.0","000199","UP43"
"199.0","000200","UP431"
"200.0","000201","UP432"
"201.0","000202","UP443"
"202.0","000203","UP449"
"203.0","000204","UP45"
"204.0","000204000211","UP45/UP457"
"205.0","000206","UP451"
"206.0","000207","UP452"
"207.0","000208","UP453"
"208.0","000209","UP454"
"209.0","000210","UP455"
"210.0","000211","UP457"
"211.0","000212","UP460"
"212.0","000213","UP461"
"213.0","000214","UP47"
"214.0","000215","UP470"
"215.0","000216","UP471"
"216.0","000217","UP472"
"217.0","000218","UP473"
"218.0","000219","UP474"
"219.0","000220","UP475"
"220.0","000221","UP476"
"221.0","000222","UP477"
"222.0","000223","UP478"
"223.0","000224","UP479"
"224.0","000225","UP480"
"225.0","000226","UP481"
"226.0","000227","UP483"
"227.0","000228","UP489"
"228.0","000229","UP49"
"229.0","000230","UP490"
"230.0","000231","UP491"
"231.0","000232","UP492"
"232.0","000233","UP493"
"233.0","000234","UP494"
"234.0","000235","UP495"
"235.0","000236","UP496"
"236.0","000237","UP497"
"237.0","000238","UP498"
"238.0","000239","UP5"
"239.0","000239000172","UP5/UP16"
"240.0","000239000245","UP5/UP8"
"241.0","000242","UP510"
"242.0","000243","UP7"
"243.0","000243000245","UP7/UP8"
"244.0","000245","UP8"
"245.0","000245000159","UP8/UP13"
"246.0","000245000167","UP8/UP15"
"247.0","000248","UP82"
"248.0","000249","UP88"
"249.0","000250","UP888"
"250.0","000251","UP89"
"251.0","000252","UP9"
"252.0","000252000204","UP9/UP45"
"253.0","000254","Adventure Trail"
"254.0","000255","Algonac State Park - Bridge to Bay Trail"
"255.0","000256","Fayette Historic State Park - Foot Trail"
"256.0","000257","Fayette Historic State Park Trail"
"257.0","000258","Fisherman's Island State Park - Beach Trail"
"258.0","000259","Fisherman's Island State Park - Foot Trail"
"259.0","000260","Fisherman's Island State Park - Hiking Trail"
"260.0","000261","FJ McLain State Park - Bear Lake Trail"
"261.0","000262","Flacks Lake Pathway"
"262.0","000263","Fort Custer Rec. Area - Bike Trail"
"263.0","000264","Fort Custer Rec. Area - Blue Loop Trail"
"264.0","000265","Fort Custer Rec. Area - Green Trail"
"265.0","000266","Algonac State Park - Foot Trail"
"266.0","000265000273","Fort Custer Rec. Area - Green Trail/Fort Custer Rec. Area - Yellow Trail"
"267.0","000265000273000271","Fort Custer Rec. Area - Green Trail/Fort Custer Rec. Area - Yellow Trail/Fort Custer Rec. Area - Red Trail"
"268.0","000269","Fort Custer Rec. Area - Horse Trail"
"269.0","000270","Fort Custer Rec. Area - Jackson Hole Trail"
"270.0","000271","Fort Custer Rec. Area - Red Trail"
"271.0","000272","Fort Custer Rec. Area - Short Cut Horse Trail"
"272.0","000273","Fort Custer Rec. Area - Yellow Trail"
"273.0","000273000271","Fort Custer Rec. Area - Yellow Trail/Fort Custer Rec. Area - Red Trail"
"274.0","000275","Fort Wilkins State Historic Park - Lake Superior Trail"
"275.0","000276","Fox River Pathway"
"276.0","000277","Algonac State Park - Oak Savanna Foot Trail"
"277.0","000278","Fred Meijer Berry Junction Trail"
"278.0","000279","Fred Meijer Pioneer State Trail"
"279.0","000280","Fred Meijer White Pine Trail"
"280.0","000281","Gemini Lakes Pathway"
"281.0","000282","Grand Marais East"
"282.0","000283","Grand Mere State Park - Foot Trail"
"283.0","000284","Grand Mere State Park - Hiking Trail"
"284.0","000285","Grand Mere State Park - Nature Trail"
"285.0","000286","Green Pine Lake Pathway"
"286.0","000287","Green Timbers Trail"
"287.0","000288","Algonquin Ski Trail"
"288.0","000289","Hancock to Laurium Trail"
"289.0","000290","Hanson Hills Trail"
"290.0","000291","Harrisville State Park - Cedar Run Nature Trail"
"291.0","000292","Hartwick Pines State Park - Aspen Trail"
"292.0","000292000296000304","Hartwick Pines State Park - Aspen Trail/Hartwick Pines State Park - Deer Run Trail/Hartwick Pines State Park - Weary Legs Trail"
"293.0","000294","Hartwick Pines State Park - Au Sable River Foot Trail"
"294.0","000295","Hartwick Pines State Park - Bright and Glory Nature Trail"
"295.0","000296","Hartwick Pines State Park - Deer Run Trail"
"296.0","000296000304","Hartwick Pines State Park - Deer Run Trail/Hartwick Pines State Park - Weary Legs Trail"
"297.0","000298","Hartwick Pines State Park - Hartwick Lake Trail"
"298.0","000299","Allegan State Game Area Trail"
"299.0","000300","Hartwick Pines State Park - Lovells Rail Trail"
"300.0","000301","Hartwick Pines State Park - Mertz Grade Trail"
"301.0","000302","Hartwick Pines State Park - Old Growth Forest Trail"
"302.0","000303","Hartwick Pines State Park - Scenic Drive"
"303.0","000304","Hartwick Pines State Park - Weary Legs Trail"
"304.0","000305","Haywire State Trail"
"305.0","000306","High Country Pathway"
"306.0","000307","Highbanks Trail"
"307.0","000308","Highland Rec. Area - Bike Trail A"
"308.0","000309","Highland Rec. Area - Bike Trail B"
"309.0","000310","Alpena to Hillman State Trail"
"310.0","000311","Highland Rec. Area - Bike Trail C"
"311.0","000312","Highland Rec. Area - Bike Trail D"
"312.0","000313","Highland Rec. Area - Blue Trail"
"313.0","000313000318","Highland Rec. Area - Blue Trail/Highland Rec. Area - Green Trail"
"314.0","000313000318000320","Highland Rec. Area - Blue Trail/Highland Rec. Area - Green Trail/Highland Rec. Area - Red Trail"
"315.0","000316","Highland Rec. Area - Boardwalk Trail"
"316.0","000317","Highland Rec. Area - Foot Trail"
"317.0","000318","Highland Rec. Area - Green Trail"
"318.0","000319","Highland Rec. Area - Horse Trail"
"319.0","000320","Highland Rec. Area - Red Trail"
"320.0","000321","Alpha Spur State Trail"
"321.0","000322","Holly Rec. Area - Blue Trail"
"322.0","000323","Holly Rec. Area - East Loop"
"323.0","000324","Holly Rec. Area - North Loop"
"324.0","000325","Holly Rec. Area - Orange Trail"
"325.0","000326","Holly Rec. Area - Red Trail"
"326.0","000327","Holly Rec. Area - Shields Trail"
"327.0","000328","Holly Rec. Area - Short Cut Trail"
"328.0","000329","Holly Rec. Area - Tech Trail"
"329.0","000330","Holly Rec. Area - Thorn Dog Trail"
"330.0","000331","Holly Rec. Area - West Long Loop"
"331.0","000332","Anderson Lake Pathway"
"332.0","000333","Holly Rec. Area - West Long Loop Return"
"333.0","000334","Holly Rec. Area - West Short Loop"
"334.0","000334000331","Holly Rec. Area - West Short Loop/Holly Rec. Area - West Long Loop"
"335.0","000336","Holly Rec. Area - Yellow Trail"
"336.0","000337","Horseshoe Lake Hiking Trail"
"337.0","000338","Hungerford Lake Trail"
"338.0","000339","Huron Shores Trail"
"339.0","000340","Indian Lake Ski Trail"
"340.0","000341","Indian Lake State Park - Chippewa Nature Trail"
"341.0","000342","Indian Lake State Park - Dufour Creek Trail"
"342.0","000343","Arboretum Trail"
"343.0","000344","Indian Lake State Park - Foot Trail"
"344.0","000344000342","Indian Lake State Park - Foot Trail/Indian Lake State Park - Dufour Creek Trail"
"345.0","000346","Interlochen State Park - Camp Store Trail"
"346.0","000347","Interlochen State Park - Music Camp Trail"
"347.0","000348","Interlochen State Park - Pines Nature Trail"
"348.0","000349","Interlochen State Park - Stairway Trail"
"349.0","000350","Ionia Rec. Area - Bike Trail"
"350.0","000351","Ionia Rec. Area - Chief Cob-Moo-Sa Trail"
"351.0","000352","Ionia Rec. Area - Field Trial Trail"
"352.0","000353","Ionia Rec. Area - Horse and Ski Trail"
"353.0","000354","Arnheim to Chassell"
"354.0","000355","Ionia Rec. Area - Horse Trail"
"355.0","000356","Ionia Rec. Area - Sessions Lake Trail"
"356.0","000357","Iron Mountain to Norway"
"357.0","000358","Iron Ore Heritage Trail"
"358.0","000359","Iron River to Marenisco Route"
"359.0","000360","Ironwood to Bessemer Trail"
"360.0","000361","Island Lake Rec. Area - Blue Trail"
"361.0","000362","Island Lake Rec. Area - Paved Hiking and Biking Trail"
"362.0","000363","Island Lake Rec. Area - River Trail"
"363.0","000364","Island Lake Rec. Area - Yellow Trail"
"364.0","000365","Agate Falls State Park - Foot Trail to Falls"
"365.0","000366","Ausable River Camp Trail"
"366.0","000368","Isle Royale National Park - Isle Royale Hiking Trail"
"367.0","000369","Jordan Valley Pathway"
"368.0","000369000481000370","Jordan Valley Pathway/North Country Trail/Belle Isle Trail"
"369.0","000371","JW Wells State Park - Campground Trail"
"370.0","000372","JW Wells State Park - Cedar River Trail"
"371.0","000373","JW Wells State Park - Evergreen Trail"
"372.0","000374","JW Wells State Park - Ridgewood Trail"
"373.0","000375","JW Wells State Park - Timber Trail"
"374.0","000376","Kal-Haven Trail"
"375.0","000377","Bald Mountain Rec. Area - Blue Trail"
"376.0","000378","Keweenaw Trail"
"377.0","000379","Lake Ann Trail"
"378.0","000380","Lake Gogebic State Park - Forest Trail"
"379.0","000381","Lakeland Trail"
"380.0","000382","Lakeport State Park - Hiking and Mountain Biking Trail"
"381.0","000383","Lakeport State Park - Hiking Trail"
"382.0","000384","Lakeport State Park - Lakeport Trail"
"383.0","000385","Laketon Trail"
"384.0","000386","Laughing Whitefish State Park - Laughing Whitefish Trail"
